,Date,Vial number,Day (letter of vial),# females,# males,wildtype,yellow/vermillion,yellow only,vermillion only,Notes
NMC,1/27/18,44,C,2,2,0,2,0,0,
NMC,1/27/18,45,C,4,5,2,1,0,2,
KAP,1/27/18,46,C,-,-,-,-,-,-,none in 46C
NMC,1/27/18,47,C,2,1,0,1,0,0,
NMC,1/27/18,48,C,15,6,1,1,1,3,3 dead in mold
NMC,1/27/18,49,C,26,24,6,9,7,2,
NMC,1/27/18,50,C,2,1,0,0,1,0,
NMC,1/27/18,51,C,4,4,2,0,1,1,
NMC,1/27/18,52,C,1,5,2,2,1,0,
KAP,1/27/18,53,C,-,-,-,-,-,-,none in 53C
NMC,1/27/18,54,C,19,22,8,4,3,7,2 dead
KLM,1/28/18,55,C,53,57,13,12,16,16,
KAP,1/28/18,56,C,-,-,-,-,-,-,none in 56C
KLM,1/28/18,57,C,66,42,5,14,13,10,
KLM,1/28/18,58,C,8,5,2,1,1,1,
-,-,59,C,-,-,-,-,-,-,no info on 59C
KLM,1/28/18,60,C,8,0,0,0,0,0,
KLM,1/28/18,61,C,32,44,12,10,13,9,
KAP,1/29/18,1,D,1,1,0,1,0,0,
NMC,1/31/18,2,D,5,6,3,2,0,1,
NMC,1/31/18,3,D,1,1,1,0,0,0,
NMC,1/31/18,4,D,1,0,0,0,0,0,
NMC,1/31/18,5,D,2,6,0,2,4,0,
NMC,1/31/18,6,D,3,2,0,2,0,0,
KLM,1/29/18,7,D,34,25,7,5,7,6,
NMC,1/31/18,8,D,23,24,1,11,2,10,
KLM,1/29/18,9,D,61,38,9,8,12,9,
KAP,1/29/18,10,D,-,-,-,-,-,-,"no flies, never KimWiped"
KLM,1/29/18,11,D,7,6,3,2,1,0,
-,-,12,D,-,-,-,-,-,-,no info on 12C
KAP,1/29/18,13,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,14,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,15,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,16,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,17,D,-,-,-,-,-,-,"no flies, never KimWiped"
-,-,18,D,-,-,-,-,-,-,no info on 18D
NMC,1/31/18,19,D,2,0,0,0,0,0,
KAP,1/29/18,20,D,-,-,-,-,-,-,"no flies, never KimWiped"
NMC,1/31/18,21,D,1,0,0,0,0,0,
NMC,1/31/18,22,D,1,1,0,0,0,1,
-,-,23,D,-,-,-,-,-,-,no info on 23D
NMC,1/31/18,24,D,14,15,8,0,4,3,
NMC,1/31/18,25,D,1,3,0,2,0,1,
NMC,1/31/18,26,D,1,3,0,2,0,1,
KAP,1/29/18,27,D,-,-,-,-,-,-,"no flies, never KimWiped"
-,-,28,D,-,-,-,-,-,-,no info on 28D
KAP,1/29/18,29,D,-,-,-,-,-,-,"no flies, never KimWiped"
NMC,1/31/18,30,D,2,1,0,1,0,0,
NMC,1/31/18,31,D,2,2,0,1,0,1,
NMC,1/31/18,32,D,18,15,3,4,3,5,
NMC,1/31/18,33,D,2,2,1,0,0,1,
KAP,1/29/18,34,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,35,D,-,-,-,-,-,-,"no flies, never KimWiped"
NMC,1/31/18,36,D,2,0,0,0,0,0,
NMC,1/31/18,37,D,0,1,0,0,1,0,
NMC,1/31/18,38,D,0,1,0,1,0,0,
KAP,1/29/18,39,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,40,D,-,-,-,-,-,-,"no flies, never KimWiped"
-,-,41,D,-,-,-,-,-,-,no info on 41D
NMC,1/31/18,42,D,2,0,0,0,0,0,
KAP,2/1/18,42,D,17,22,8,3,6,5,
KAP,1/29/18,43,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,44,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,45,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,46,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,47,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,2/1/18,48,D,5,4,0,1,3,0,
KAP,2/1/18,49,D,13,14,5,3,5,1,
KAP,1/29/18,50,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,51,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,52,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,53,D,-,-,-,-,-,-,"no flies, never KimWiped"
NMC,1/31/18,54,D,1,0,0,0,0,0,
KAP,2/1/18,55,D,6,5,2,2,0,1,
KAP,1/29/18,56,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,2/1/18,57,D,4,3,1,0,2,0,
KAP,1/29/18,58,D,-,-,-,-,-,-,"no flies, never KimWiped"
KAP,1/29/18,59,D,-,-,-,-,-,-,"no flies, never KimWiped"
NMC,1/31/18,60,D,0,1,0,1,0,0,
KAP,2/1/18,61,D,5,5,1,2,0,2,
