Date,ViaNumber,Day,numbMales,ct,sd,y,se,Initials,Notes
9.Kas,57,A,1,0,0,0,0,AKT,WT
9.Kas,57,A,1,0,0,0,0,AKT,WT
9.Kas,57,A,1,0,0,0,0,AKT,WT
9.Kas,57,A,1,0,0,0,1,AKT,
9.Kas,57,A,1,0,0,0,1,AKT,
9.Kas,57,A,1,0,1,0,0,AKT,
9.Kas,41,A,1,0,0,0,0,AKT,WT
9.Kas,41,A,1,0,0,0,1,AKT,
9.Kas,41,A,1,0,0,0,1,AKT,
9.Kas,41,A,1,1,1,1,1,AKT,
9.Kas,41,A,1,1,1,1,1,AKT,
9.Kas,41,A,1,1,1,1,0,AKT,
9.Kas,41,A,1,1,1,1,1,AKT,
9.Kas,41,A,1,1,1,1,0,AKT,
9.Kas,41,A,1,0,0,1,0,AKT,
9.Kas,41,A,1,0,0,1,0,AKT,
9.Kas,41,A,1,0,1,1,1,AKT,
9.Kas,41,A,1,0,1,0,0,AKT,
9.Kas,41,A,1,1,1,1,1,AKT,
9.Kas,41,A,1,0,0,0,0,AKT,WT
9.Kas,41,A,1,0,0,1,1,AKT,
9.Kas,41,A,1,0,0,1,1,AKT,
9.Kas,39,A,1,0,0,0,1,AKT,
9.Kas,39,A,1,1,1,0,0,AKT,
9.Kas,39,A,1,1,1,1,0,AKT,
9.Kas,38,A,1,1,1,1,1,AKT,
9.Kas,38,A,1,0,0,1,1,AKT,
9.Kas,38,A,1,1,1,0,1,AKT,
9.Kas,38,A,1,1,1,0,0,AKT,
9.Kas,38,A,1,0,0,0,1,AKT,
9.Kas,38,A,1,0,0,0,0,AKT,WT
9.Kas,38,A,1,0,0,1,1,AKT,
9.Kas,50,A,1,0,0,0,0,AKT,WT
9.Kas,50,A,1,0,1,0,0,AKT,
9.Kas,50,A,1,1,1,1,1,AKT,
9.Kas,50,A,1,1,1,1,0,AKT,
9.Kas,50,A,1,1,1,1,0,AKT,
9.Kas,33,A,1,0,0,0,0,AKT,WT
9.Kas,33,A,1,0,1,0,0,AKT,
9.Kas,33,A,1,1,1,0,1,AKT,
9.Kas,33,A,1,0,0,1,0,AKT,
9.Kas,33,A,1,1,1,1,0,AKT,
9.Kas,33,A,1,1,1,1,1,AKT,
9.Kas,33,A,1,0,0,0,0,AKT,WT
9.Kas,33,A,1,1,1,0,1,AKT,
9.Kas,51,A,1,0,0,0,0,AKT,WT
9.Kas,51,A,1,1,1,1,0,AKT,
9.Kas,36,A,1,0,0,0,0,AKT,WT
9.Kas,36,A,1,0,0,0,1,AKT,
9.Kas,36,A,1,1,1,0,1,AKT,
9.Kas,36,A,1,0,0,0,1,AKT,
9.Kas,36,A,1,0,1,0,1,AKT,
9.Kas,36,A,1,1,1,1,0,AKT,
9.Kas,36,A,1,1,1,1,1,AKT,
9.Kas,36,A,1,1,1,1,1,AKT,
9.Kas,36,A,1,0,0,0,0,AKT,WT
9.Kas,36,A,1,0,0,0,0,AKT,WT
9.Kas,36,A,1,0,1,0,0,AKT,
9.Kas,36,A,1,1,1,0,0,AKT,
9.Kas,36,A,1,0,0,1,1,AKT,
9.Kas,36,A,1,0,0,1,1,AKT,
9.Kas,36,A,1,0,1,0,1,AKT,
9.Kas,16,B,1,1,1,1,1,AKT,
9.Kas,16,B,1,1,1,1,1,AKT,
9.Kas,16,B,1,0,1,1,0,AKT,
9.Kas,16,B,1,1,1,1,0,AKT,
9.Kas,16,B,1,1,1,0,1,AKT,
9.Kas,16,B,1,0,0,1,0,AKT,
9.Kas,16,B,1,1,1,0,0,AKT,
9.Kas,16,B,1,1,1,1,0,AKT,
9.Kas,16,B,1,0,0,1,0,AKT,
9.Kas,16,B,1,0,0,0,0,AKT,
9.Kas,16,B,1,1,1,0,0,AKT,
9.Kas,16,B,1,1,1,1,0,AKT,
9.Kas,16,B,1,0,0,1,1,AKT,
9.Kas,36,B,1,0,0,1,0,AKT,
9.Kas,36,B,1,1,1,1,1,AKT,
9.Kas,36,B,1,0,0,0,1,AKT,
9.Kas,36,B,1,0,0,0,1,AKT,
9.Kas,36,B,1,1,1,0,1,AKT,
9.Kas,36,B,1,0,0,1,0,AKT,
9.Kas,36,B,1,0,0,1,0,AKT,
9.Kas,36,B,1,0,0,1,0,AKT,
9.Kas,36,B,1,0,0,0,1,AKT,
9.Kas,36,B,1,0,0,0,1,AKT,
9.Kas,36,B,1,1,1,1,1,AKT,
9.Kas,36,B,1,1,1,1,0,AKT,
9.Kas,36,B,1,0,1,1,1,AKT,
9.Kas,36,B,1,0,0,1,0,AKT,
9.Kas,36,B,1,1,1,0,0,AKT,
9.Kas,43,B,1,0,0,1,0,AKT,
9.Kas,43,B,1,0,0,0,0,AKT,
9.Kas,43,B,1,1,1,1,1,AKT,
9.Kas,43,B,1,0,0,0,0,AKT,
9.Kas,43,B,1,0,0,0,0,AKT,
9.Kas,43,B,1,0,0,0,0,AKT,
9.Kas,43,B,1,0,0,0,0,AKT,
9.Kas,43,B,1,1,1,1,0,AKT,
9.Kas,60,B,1,1,1,1,1,AKT,
9.Kas,60,B,1,0,0,1,0,AKT,
9.Kas,60,B,1,1,1,1,0,AKT,
9.Kas,60,B,1,1,1,0,0,AKT,
9.Kas,60,B,1,1,1,1,0,AKT,
9.Kas,60,B,1,0,0,0,0,AKT,
9.Kas,60,B,1,0,0,0,1,AKT,
9.Kas,58,B,1,0,0,0,0,AKT,
9.Kas,58,B,1,0,0,0,1,AKT,
9.Kas,58,B,1,0,0,0,1,AKT,
9.Kas,58,B,1,1,1,1,0,AKT,
9.Kas,58,B,1,1,1,1,1,AKT,
9.Kas,58,B,1,0,0,0,0,AKT,
9.Tem,1,A,1,0,1,1,0,AKT,
9.Tem,1,A,1,1,1,0,0,AKT,
9.Tem,1,A,1,0,0,0,0,AKT,
9.Tem,3,A,1,1,1,1,0,AKT,
9.Tem,3,A,1,0,1,1,1,AKT,
9.Tem,3,A,1,1,1,1,1,AKT,
9.Tem,3,A,1,0,0,1,0,AKT,
9.Tem,4,A,1,1,1,1,0,AKT,
9.Tem,4,A,1,0,0,0,0,AKT,
9.Tem,4,A,1,1,1,0,0,AKT,
9.Tem,4,A,1,0,0,0,0,AKT,
9.Tem,4,A,1,0,0,0,0,AKT,
9.Tem,4,A,1,0,0,1,1,AKT,
9.Tem,10,A,1,0,0,0,0,AKT,
9.Tem,10,A,1,0,0,0,1,AKT,
9.Tem,6,A,1,0,0,1,1,AKT,
9.Tem,6,A,1,0,0,1,1,AKT,
9.Tem,6,A,1,0,0,1,1,AKT,
9.Tem,6,A,1,1,1,1,1,AKT,
9.Tem,6,A,1,1,1,0,0,AKT,
9.Tem,6,A,1,0,0,0,1,AKT,
9.Tem,6,A,1,1,1,1,1,AKT,
9.Tem,6,A,1,0,0,0,1,AKT,
9.Tem,6,A,1,0,0,1,1,UHA,
9.Tem,6,A,1,0,0,1,0,UHA,
9.Tem,6,A,1,1,1,0,1,UHA,
9.Tem,6,A,1,0,0,0,1,UHA,
9.Tem,6,A,1,1,1,0,1,UHA,
9.Tem,6,A,1,0,0,0,1,UHA,
9.Tem,6,A,1,0,0,1,0,UHA,
9.Tem,6,A,1,1,1,1,0,UHA,
9.Tem,6,A,1,0,0,1,0,UHA,
9.Tem,6,A,1,0,0,0,0,UHA,
9.Tem,6,A,1,0,0,1,0,UHA,
9.Tem,12,A,1,0,0,1,0,UHA,
9.Tem,12,A,1,0,0,0,1,UHA,
9.Tem,13,A,1,0,0,0,0,UHA,
9.Tem,14,A,1,0,0,0,0,UHA,
9.Tem,15,A,1,0,0,0,0,UHA,
9.Tem,15,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,0,0,1,0,UHA,
9.Tem,1,A,1,0,0,1,1,UHA,
