Date,Vial #,Day (letter of vial),# females,# males,Sum of phenotypes,Wildtype,Vellow/vermillion,Yellow only,Vermillion only,Phenotyped by:
17-Jul,30,E,1,2,2,1,0,1,0,KLM
17-Jul,32,E,4,0,0,0,0,0,0,KLM
17-Jul,33,E,8,1,1,0,0,1,0,KLM
17-Jul,37,E,4,0,0,0,0,0,0,KLM
17-Jul,39,E,4,4,4,2,0,1,1,KLM
17-Jul,42,E,4,0,0,0,0,0,0,KLM
17-Jul,44,E,5,2,2,1,0,0,1,KLM
17-Jul,46,E,3,3,3,1,0,1,1,KLM
17-Jul,49,E,6,1,1,1,0,0,0,KLM
17-Jul,66,E,1,1,1,1,0,0,0,KLM
17-Jul,62,A,18,9,9,6,1,2,0,SBL
17-Jul,64,A,3,2,2,0,1,0,1,SBL
17-Jul,75,A,30,21,21,4,7,7,3,SBL
18-Jul,6,F,2,0,0,0,0,0,0,SBL
18-Jul,17,F,7,3,3,0,2,1,0,SBL
18-Jul,19,F,4,10,10,1,6,1,2,SBL
18-Jul,20,F,5,6,6,3,2,0,1,SBL
18-Jul,23,F,3,4,4,0,1,1,2,SBL
18-Jul,28,F,4,4,4,1,2,0,1,SBL
18-Jul,30,F,4,4,4,1,2,1,0,SBL
18-Jul,32,F,7,2,2,0,1,1,0,SBL
18-Jul,37,F,1,0,0,0,0,0,0,SBL
18-Jul,66,F,1,0,0,0,0,0,0,SBL
18-Jul,7,G,0,2,2,0,0,0,2,SBL
18-Jul,9,G,1,2,2,0,1,0,1,SBL
18-Jul,12,G,2,0,0,0,0,0,0,SBL
18-Jul,28,G,3,1,1,0,0,0,1,SBL
18-Jul,22,H,3,0,0,0,0,0,0,SBL
18-Jul,24,H,4,3,3,0,1,2,0,SBL
18-Jul,28,H,1,0,0,0,0,0,0,SBL
19-Jul,12,A,1,2,2,1,0,1,0,SBL
19-Jul,24,A,0,4,4,2,1,1,0,SBL
19-Jul,55,A,11,7,7,2,2,0,3,SBL
19-Jul,56,A,10,11,11,6,2,1,2,SBL
19-Jul,60,A,7,5,5,0,2,2,1,SBL
19-Jul,61,A,7,3,3,0,3,0,0,SBL
19-Jul,65,A,1,1,1,0,0,1,0,SBL
19-Jul,77,A,0,5,5,1,1,0,3,SBL
20-Jul,11,B,3,0,0,0,0,0,0,SBL
20-Jul,14,B,1,2,2,1,1,0,0,SBL
20-Jul,28,B,0,1,1,1,0,0,0,SBL
20-Jul,29,B,2,6,6,3,1,1,1,SBL
20-Jul,31,B,1,2,2,1,1,0,0,SBL
