Vial,Day,Numbfemales,Date,Initials,Notes
50,Y,1,9/11,NRR,0
51,Y,2,9/11,NRR,0
72,Y,1,9/11,NRR,0
73,Y,1,9/11,NRR,0
84,Y,1,9/11,NRR,0
93,Y,3,9/11,NRR,0
95,Y,1,9/11,NRR,0
96,Y,1,9/11,NRR,0
98,Y,1,9/11,NRR,0
121,Y,2,9/11,NRR,0
122,Y,1,9/11,NRR,0
129,Y,2,9/11,NRR,0
105,W,4,11/11,ABK,0
114,W,4,11/11,ABK,2 dead
40,W,4,11/11,ABK,0
115,W,2,11/11,ABK,1 dead
13,W,2,11/11,ABK,0
128,W,4,11/11,ABK,0
110,W,3,11/11,ABK,1 dead
29,W,2,11/11,ABK,0
111,W,1,11/11,ABK,1 dead
28,W,1,11/11,ABK,1 dead
98,W,2,11/11,ABK,2 dead
13,W,1,11/11,ABK,0
114,W,1,11/11,ABK,0
117,W,1,11/11,ABK,0
120,W,1,11/11,ABK,0
129,W,3,11/11,ABK,0
124,W,1,11/11,ABK,0
3,W,1,11/11,ABK,0
8,W,1,11/11,ABK,0
26,W,1,11/11,ABK,0
18,W,2,11/11,ABK,0
23,W,1,11/11,ABK,0
45,W,1,11/11,ABK,0
47,W,2,11/11,ABK,0
55,W,1,11/11,ABK,0
56,W,2,11/11,ABK,0
57,W,1,11/11,ABK,0
58,W,2,11/11,ABK,0
62,W,2,11/11,ABK,0
70,Y,1,7/11,AFB,0
84,Y,1,7/11,AFB,0
41,Y,3,7/11,AFB,0
56,Y,4,7/11,AFB,0
57,Y,2,7/11,AFB,0
69,Y,1,7/11,AFB,0
9,V,0,9/11,UHA,0
4,V,0,9/11,UHA,0
20,V,0,9/11,UHA,0
29,V,1,9/11,UHA,0
40,V,2,9/11,UHA,0
30,V,1,9/11,UHA,0
35,V,2,9/11,UHA,0
50,V,1,9/11,UHA,0
56,V,1,9/11,UHA,0
62,V,1,9/11,UHA,0
77,V,2,9/11,UHA,0
96,V,3,9/11,UHA,0
95,V,2,9/11,UHA,0
82,V,3,9/11,UHA,0
85,V,1,9/11,UHA,0
